,trader_name,daily_roi,weekly_roi,monthly_roi,all_roi,daily_pnl,weekly_pnl,monthly_pnl,all_pnl,number_of_trade,traded_open_dates,traded_symbols,traded_leverages,traded_types,traded_size,traded_open_price,traded_market_price,trade_pnl,trade_roi
806,Cho***aro,+2.84%,-32.44%,+17.31%,-106.79%,+5.54,-96.18,+77.98,"-14,243.39",1,['2022-12-29 21:21:59'],['BTCUSDT Perpetual'],['85x'],['Long'],['0.118'],"['16,582.00']","['16,562.20']",['-2.34'],['(-3.4471%)']
807,Ketepeng,0.00%,+13.07%,-6.65%,+881.00%,0.00,+19.48,-10.90,"+1,716.29",1,['2022-12-30 20:57:56'],['OCEANUSDT Perpetual'],['20x'],['Short'],['4996'],['0.16715'],['0.16657'],['2.92'],['(7.0134%)']
808,Anonymous User-dbd8a4,0.00%,0.00%,-105.02%,-56.51%,0.00,0.00,"-1,581.29","-99,151.96",0,[],[],[],[],[],[],[],[],[]
809,Anonymous User-e8c695,+392.17%,-78.71%,-84.42%,-7.49%,+392.17,"-1,819.89","-2,667.63","-51,512.14",3,"['2022-12-16 10:00:28', '2022-12-19 19:17:45', '2022-12-16 11:17:08']","['ETHUSDT Perpetual', 'AVAXUSDT Perpetual', 'BTCUSDT Perpetual']","['10x', '20x', '20x']","['Long', 'Long', 'Long']","['45.285', '850', '1.886']","['1,228.00', '11.7520', '16,930.00']","['1,196.28', '10.8840', '16,562.63']","['-1,436.44', '-737.80', '-692.86']","['(-14.8055%)', '(-159.5002%)', '(-13.2998%)']"
810,xotxot,0.00%,0.00%,-9.33%,-25.91%,0.00,0.00,-431.15,"-225,849.50",0,[],[],[],[],[],[],[],[],[]
811,A-Tuhi,0.00%,-18.02%,-101.94%,-129.85%,0.00,-21.98,"-3,309.04","-25,495.10",0,[],[],[],[],[],[],[],[],[]
812,TreeOfAlpha1,0.00%,+0.12%,-6.87%,"+1,218.31%",-0.00,"+1,180.59","-61,627.40","+4,621,155.92",0,[],[],[],[],[],[],[],[],[]
813,elonier,-1.54%,-3.13%,+9.60%,+18.68%,"-12,643.60","-26,046.54","+72,856.94","+806,918.82",0,[],[],[],[],[],[],[],[],[]
814,Anonymous User-1a8e8,0.00%,0.00%,-82.36%,-167.09%,0.00,0.00,"-283,308.50","-1,106,067.35",0,[],[],[],[],[],[],[],[],[]
815,0xKyd,-3.25%,+7.55%,-3.86%,+73.52%,"-36,502.25","+76,227.51","-70,037.97","+2,040,975.84",2,"['2022-12-31 02:17:23', '2022-12-31 02:08:20']","['LTCUSDT Perpetual', 'LTCBUSD Perpetual']","['10x', '5x']","['Long', 'Long']","['10458.539', '3207.48']","['67.10', '67.052052']","['67.78', '67.730000']","['7,109.97', '2,174.50']","['(6.2682%)', '(3.1825%)']"
816,Anonymous User-016ab5,-13.10%,-8.39%,-43.08%,-149.22%,-59.67,-36.24,-299.65,"-9,055.29",13,"['2022-12-31 00:06:39', '2022-12-17 15:04:43', '2022-12-30 17:04:24', '2022-12-22 23:14:21', '2022-12-17 03:20:28', '2022-11-15 09:44:02', '2022-11-08 20:28:48', '2022-12-30 10:11:29', '2022-12-30 20:39:50', '2022-12-25 03:56:01', '2022-12-30 16:20:54', '2022-12-30 22:14:34', '2022-12-30 08:40:59']","['BNBUSDT Perpetual', 'DOGEUSDT Perpetual', 'TRXUSDT Perpetual', 'XLMUSDT Perpetual', 'KSMUSDT Perpetual', 'ATOMUSDT Perpetual', 'SOLUSDT Perpetual', 'CRVUSDT Perpetual', 'ETHUSDT Perpetual', 'EGLDUSDT Perpetual', 'NEARUSDT Perpetual', 'BTCUSDT Perpetual', 'DYDXUSDT Perpetual']","['50x', '25x', '25x', '10x', '50x', '25x', '50x', '20x', '75x', '20x', '20x', '75x', '20x']","['Short', 'Short', 'Short', 'Short', 'Long', 'Short', 'Short', 'Long', 'Short', 'Short', 'Long', 'Short', 'Long']","['6.65', '724', '13395', '1172', '0.5', '6.95', '1', '184.7', '2.113', '3.3', '371', '0.109', '161.5']","['244.840', '0.101223', '0.05415', '0.07575', '22.280', '15.117', '32.7271', '0.495', '1,196.21', '36.088', '1.2540', '16,616.71', '1.028']","['245.323', '0.068180', '0.05449', '0.07189', '24.492', '9.349', '9.9070', '0.525', '1,196.61', '33.150', '1.2647', '16,564.60', '1.043']","['-3.21', '23.92', '-4.55', '4.52', '1.11', '40.09', '22.82', '5.45', '-0.84', '9.70', '3.98', '5.68', '2.35']","['(-9.8366%)', '(1,211.6049%)', '(-15.5992%)', '(53.6568%)', '(451.5512%)', '(1,542.5392%)', '(11,517.1812%)', '(112.4678%)', '(-2.5053%)', '(177.2480%)', '(16.9852%)', '(23.5932%)', '(27.9127%)']"
817,Side-sleep,-10.65%,-4.63%,+27.52%,-16.46%,-696.68,-429.06,"+2,367.30","-3,230.02",1,['2022-12-30 15:51:23'],['BTCUSDT Perpetual'],['8x'],['Long'],['5'],"['16,367.00']","['16,564.50']",['987.50'],['(9.5385%)']
818,Kimchimin,+11.05%,-24.58%,+499.68%,-166.76%,+381.69,"-1,250.90","+3,095.14","-25,495.76",1,['2022-12-27 01:30:27'],['BTCUSDT Perpetual'],['15x'],['Long'],['4.383'],"['16,856.08']","['16,565.02']","['-1,275.71']",['(-26.3560%)']
819,Anonymous User-68d688,-1.02%,+15.19%,+642.95%,+67.07%,-29.94,+384.85,"+2,785.58","+4,090.14",4,"['2022-12-30 06:31:34', '2022-12-30 06:31:12', '2022-12-30 06:31:25', '2022-12-30 06:31:44']","['BNBUSDT Perpetual', 'DOGEUSDT Perpetual', 'MASKUSDT Perpetual', 'BTCUSDT Perpetual']","['23x', '23x', '20x', '23x']","['Short', 'Short', 'Short', 'Short']","['6.01', '83515', '1488', '0.134']","['241.117', '0.084658', '2.3983', '16,613.26']","['245.320', '0.068170', '2.0253', '16,565.74']","['-25.26', '1,376.97', '555.09', '6.37']","['(-39.4023%)', '(556.2824%)', '(368.3923%)', '(6.5975%)']"
820,Anonymous User-81ba19,+1.05%,+4.91%,+280.50%,-7.37%,+70.07,+315.70,"+5,133.83",-252.92,4,"['2022-12-30 22:06:01', '2022-12-30 22:42:02', '2022-12-30 22:02:01', '2022-12-31 00:57:02']","['ETHUSDT Perpetual', 'ETHUSDT Perpetual', 'BTCUSDT Perpetual', 'BTCUSDT Perpetual']","['100x', '100x', '100x', '100x']","['Long', 'Short', 'Long', 'Short']","['1.81', '5.43', '0.13', '0.39']","['1,199.75', '1,193.21', '16,608.00', '16,501.73']","['1,196.60', '1,196.60', '16,565.69', '16,565.69']","['-5.70', '-18.41', '-5.50', '-24.94']","['(-26.3246%)', '(-28.3303%)', '(-25.5399%)', '(-38.6088%)']"
